№	Раздел (ред. N 805 от 30.06.2026)	Стало (ред. N 805 от 30.06.2026) — полная формулировка	Было (исходная редакция) — полная формулировка	Характер изменения
2.Т	Тема 2 / Теоретическое занятие по теме 2	Теоретическое занятие по теме 2	Теоретическое занятие по теме 3	Изменение нумерации
2.1	Тема 2 / Теоретическое занятие по теме 2	Кровотечение. Обзорный осмотр пострадавшего (пострадавших).	Цель и порядок выполнения обзорного осмотра пострадавшего.	Переформулирование
2.2	Тема 2 / Теоретическое занятие по теме 2	Признаки наружного кровотечения и кровопотери.	Понятия "кровотечение", "острая кровопотеря". Признаки различных видов наружного кровотечения (артериального, венозного, капиллярного, смешанного). Способы временной остановки наружного кровотечения: пальцевое прижатие артерии, наложение жгута, максимальное сгибание конечности в суставе, прямое давление на рану, наложение давящей повязки.	Сокращение / обобщение
2.3	Тема 2 / Теоретическое занятие по теме 2	Способы временной остановки наружного кровотечения.	Понятия "кровотечение", "острая кровопотеря". Признаки различных видов наружного кровотечения (артериального, венозного, капиллярного, смешанного). Способы временной остановки наружного кровотечения: пальцевое прижатие артерии, наложение жгута, максимальное сгибание конечности в суставе, прямое давление на рану, наложение давящей повязки.	Сокращение / обобщение
2.4	Тема 2 / Теоретическое занятие по теме 2	Последовательность выполнения мероприятий по остановке кровотечения.	—	Добавлено
2.5	Тема 2 / Теоретическое занятие по теме 2	Остановка кровотечения при ранениях различных областей тела.	—	Добавлено
2.П	Тема 2 / Практическое занятие по теме 2	Практическое занятие по теме 2	Практическое занятие по теме 3	Изменение нумерации
2.6	Тема 2 / Практическое занятие по теме 2	Отработка проведения обзорного осмотра пострадавшего (пострадавших).	Отработка проведения обзорного осмотра пострадавшего.	Переформулирование
2.7	Тема 2 / Практическое занятие по теме 2	Отработка временной остановки наружного кровотечения при ранении головы, шеи, груди, спины, живота, конечностей и смежных зон с помощью прямого давления на рану.	Отработка приемов временной остановки наружного кровотечения при ранениях головы, шеи, груди, живота, таза и конечностей с помощью пальцевого прижатия артерий (сонной, подключичной, подмышечной, плечевой, бедренной); наложение табельного и импровизированного кровоостанавливающего жгута (жгута-закрутки, ремня), максимальное сгибание конечности в суставе, прямое давление на рану, наложение давящей повязки.	Существенная переработка
2.8	Тема 2 / Практическое занятие по теме 2	Отработка наложения давящей повязки при ранении головы, груди, спины, живота, конечностей и смежных зон.	Отработка приемов временной остановки наружного кровотечения при ранениях головы, шеи, груди, живота, таза и конечностей с помощью пальцевого прижатия артерий (сонной, подключичной, подмышечной, плечевой, бедренной); наложение табельного и импровизированного кровоостанавливающего жгута (жгута-закрутки, ремня), максимальное сгибание конечности в суставе, прямое давление на рану, наложение давящей повязки.	Существенная переработка
2.9	Тема 2 / Практическое занятие по теме 2	Отработка приемов наложения табельных и импровизированных кровоостанавливающих жгутов разных конструкций при ранении конечностей.	Отработка приемов временной остановки наружного кровотечения при ранениях головы, шеи, груди, живота, таза и конечностей с помощью пальцевого прижатия артерий (сонной, подключичной, подмышечной, плечевой, бедренной); наложение табельного и импровизированного кровоостанавливающего жгута (жгута-закрутки, ремня), максимальное сгибание конечности в суставе, прямое давление на рану, наложение давящей повязки.	Существенная переработка
2.10	Тема 2 / Практическое занятие по теме 2	Отработка приемов наложения давящей повязки с фиксацией инородного предмета в ране живота, груди, спины, конечностей.	Отработка приемов наложения повязок при наличии инородного предмета в ране живота, груди, конечностей.	Переформулирование
3	Тема 3	Тема 3. Оказание первой помощи при отсутствии сознания, остановке дыхания и кровообращения	Тема 2. Оказание первой помощи при отсутствии сознания, остановке дыхания и кровообращения	Изменение нумерации
3.Т	Тема 3 / Теоретическое занятие по теме 3	Теоретическое занятие по теме 3	Теоретическое занятие по теме 2	Изменение нумерации
3.1	Тема 3 / Теоретическое занятие по теме 3	Определение признаков жизни.	Основные признаки жизни у пострадавшего. Причины нарушения дыхания и кровообращения. Способы проверки сознания, дыхания, кровообращения у пострадавшего.	Сокращение / обобщение
3.2	Тема 3 / Теоретическое занятие по теме 3	Восстановление и поддержание проходимости дыхательных путей.	—	Добавлено
3.3	Тема 3 / Теоретическое занятие по теме 3	Техника проведения сердечно-легочной реанимации.	Современный алгоритм проведения сердечно-легочной реанимации (далее - реанимация). Техника проведения искусственного дыхания и давления руками на грудину пострадавшего при проведении реанимации.	Сокращение / обобщение
3.4	Тема 3 / Теоретическое занятие по теме 3	Использование автоматического наружного дефибриллятора (при его наличии).	—	Добавлено
3.5	Тема 3 / Теоретическое занятие по теме 3	Первая помощь при нарушении проходимости верхних дыхательных путей, вызванном инородным телом.	Порядок оказания первой помощи при частичном и полном нарушении проходимости верхних дыхательных путей, вызванном инородным телом у пострадавших в сознании, без сознания. Особенности оказания первой помощи тучному пострадавшему, беременной женщине и ребенку.	Сокращение / обобщение
3.6	Тема 3 / Теоретическое занятие по теме 3	Первая помощь при иных угрожающих жизни и здоровью нарушениях дыхания.	—	Добавлено
3.П	Тема 3 / Практическое занятие по теме 3	Практическое занятие по теме 3	Практическое занятие по теме 2	Изменение нумерации
3.7	Тема 3 / Практическое занятие по теме 3	Отработка последовательности выполнения реанимационных мероприятий.	Выполнение алгоритма реанимации.	Переформулирование
3.8	Тема 3 / Практическое занятие по теме 3	Оценка обстановки на месте происшествия.	Оценка обстановки на месте происшествия.	Без изменений
3.9	Тема 3 / Практическое занятие по теме 3	Отработка приемов определения сознания у пострадавшего.	Отработка навыков определения сознания у пострадавшего.	Переформулирование
3.10	Тема 3 / Практическое занятие по теме 3	Отработка приемов восстановления проходимости верхних дыхательных путей.	Отработка приемов восстановления проходимости верхних дыхательных путей. Оценка признаков жизни у пострадавшего.	Переформулирование
3.11	Тема 3 / Практическое занятие по теме 3	Оценка признаков жизни у пострадавшего.	Отработка приемов восстановления проходимости верхних дыхательных путей. Оценка признаков жизни у пострадавшего.	Переформулирование
3.12	Тема 3 / Практическое занятие по теме 3	Отработка вызова скорой медицинской помощи, других специальных служб.	Отработка вызова скорой медицинской помощи, других специальных служб.	Без изменений
3.13	Тема 3 / Практическое занятие по теме 3	Отработка приемов давления руками на грудину пострадавшего.	Отработка приемов искусственного дыхания "рот ко рту", "рот к носу" с применением устройств для искусственного дыхания. | Отработка приемов давления руками на грудину пострадавшего.	Переформулирование
3.14	Тема 3 / Практическое занятие по теме 3	Отработка приемов искусственного дыхания "рот ко рту", "рот к носу" с применением устройств для искусственного дыхания.	Отработка приемов искусственного дыхания "рот ко рту", "рот к носу" с применением устройств для искусственного дыхания. | Отработка приемов давления руками на грудину пострадавшего.	Переформулирование
3.15	Тема 3 / Практическое занятие по теме 3	Отработка приема перевода пострадавшего в устойчивое боковое положение.	Отработка приема перевода пострадавшего в устойчивое боковое положение.	Без изменений
3.16	Тема 3 / Практическое занятие по теме 3	Отработка алгоритма применения автоматического наружного дефибриллятора.	—	Добавлено
3.17	Тема 3 / Практическое занятие по теме 3	Отработка приемов удаления инородного тела из верхних дыхательных путей пострадавшего.	Отработка приемов удаления инородного тела из верхних дыхательных путей пострадавшего.	Без изменений
4	Тема 4	Тема 4. Оказание первой помощи при травмах, ранениях, поражениях и прочих состояниях	Тема 4. Оказание первой помощи при прочих состояниях | (+ травмы из Темы 3. Оказание первой помощи при наружных кровотечениях и травмах)	Объединение тем
4.Т	Тема 4 / Теоретическое занятие по теме 4	Теоретическое занятие по теме 4	Теоретическое занятие по теме 3 (травмы) + Теоретическое занятие по теме 4 (прочие состояния)	Объединение тем
4.1	Тема 4 / Теоретическое занятие по теме 4	Подробный осмотр и опрос пострадавшего.	Цель и последовательность подробного осмотра пострадавшего. Основные состояния, с которыми может столкнуться участник оказания первой помощи.	Переформулирование
4.2	Тема 4 / Теоретическое занятие по теме 4	Основные состояния, с которыми может столкнуться участник оказания первой помощи.	Цель и последовательность подробного осмотра пострадавшего. Основные состояния, с которыми может столкнуться участник оказания первой помощи.	Без изменений
4.3	Тема 4 / Теоретическое занятие по теме 4	Травмы различных областей тела.	Травмы головы. Оказание первой помощи. Особенности ранений волосистой части головы. Особенности оказания первой помощи при травмах глаза и носа. | Травмы шеи, оказание первой помощи. Временная остановка наружного кровотечения при травмах шеи. Фиксация шейного отдела позвоночника (вручную, подручными средствами, с использованием медицинских изделий). | Травмы груди, оказание первой помощи. Основные проявления травмы груди, особенности наложения повязок при травме груди, наложение окклюзионной (герметизирующей) повязки. Особенности наложения повязки на рану груди с инородным телом. | Травмы живота и таза, основные проявления. Оказание первой помощи. | Закрытая травма живота с признаками внутреннего кровотечения. Оказание первой помощи. Особенности наложения повязок на рану при выпадении органов брюшной полости, при наличии инородного тела в ране. | Травмы конечностей, оказание первой помощи. Понятие "иммобилизация". Способы иммобилизации при травме конечностей. | Травмы позвоночника. Оказание первой помощи.	Сокращение / обобщение
4.4	Тема 4 / Теоретическое занятие по теме 4	Поражения, вызванные термическими факторами, - ожоги, перегревание, отморожение, переохлаждение.	Виды ожогов, их признаки. Понятие о поверхностных и глубоких ожогах. Ожог верхних дыхательных путей, основные проявления. Оказание первой помощи. | Перегревание, факторы, способствующие его развитию. Основные проявления, оказание первой помощи. | Холодовая травма, ее виды. Основные проявления переохлаждения (гипотермии), отморожения, оказание первой помощи.	Сокращение / обобщение
4.5	Тема 4 / Теоретическое занятие по теме 4	Поражения, вызванные химическими и электрическими факторами, излучением.	—	Добавлено
4.6	Тема 4 / Теоретическое занятие по теме 4	Отравления.	Отравления, пути попадания ядов в организм. Признаки острого отравления. Оказание первой помощи при попадании отравляющих веществ в организм через дыхательные пути, пищеварительный тракт, через кожу.	Сокращение / обобщение
4.7	Тема 4 / Теоретическое занятие по теме 4	Укусы и ужаливания ядовитых животных.	—	Добавлено
4.8	Тема 4 / Теоретическое занятие по теме 4	Судорожный приступ с потерей сознания.	—	Добавлено
4.9	Тема 4 / Теоретическое занятие по теме 4	Помощь пострадавшему в принятии лекарственных препаратов.	—	Добавлено
4.10	Тема 4 / Теоретическое занятие по теме 4	Придание и поддержание оптимального положения тела пострадавшего, контроль состояния, психологическая поддержка.	Цель и принципы придания пострадавшим оптимальных положений тела. Оптимальные положения тела пострадавшего с травмами груди, живота, таза, конечностей, с потерей сознания, с признаками кровопотери. | Способы контроля состояния пострадавшего, находящегося в сознании, без сознания. | Психологическая поддержка. Цели оказания психологической поддержки. Общие принципы общения с пострадавшими, простые приемы их психологической поддержки.	Сокращение / обобщение
4.11	Тема 4 / Теоретическое занятие по теме 4	Транспортировка пострадавшего.	—	Добавлено
4.12	Тема 4 / Теоретическое занятие по теме 4	Передача пострадавшего выездной бригаде скорой медицинской помощи, медицинской организации, специальным службам.	Принципы передачи пострадавшего бригаде скорой медицинской помощи, другим специальным службам, сотрудники которых обязаны оказывать первую помощь.	Переформулирование
4.П	Тема 4 / Практическое занятие по теме 4	Практическое занятие по теме 4	Практическое занятие по теме 3 (травмы) + Практическое занятие по теме 4 (прочие состояния)	Объединение тем
4.13	Тема 4 / Практическое занятие по теме 4	Проведение подробного осмотра и опроса пострадавшего.	Проведение подробного осмотра пострадавшего.	Переформулирование
4.14	Тема 4 / Практическое занятие по теме 4	Отработка наложения окклюзионной (герметизирующей) повязки при ранении грудной клетки.	Отработка наложения окклюзионной (герметизирующей) повязки при ранении грудной клетки.	Перенесено
4.15	Тема 4 / Практическое занятие по теме 4	Отработка приемов наложения повязок на рану при выпадении органов брюшной полости, при наличии инородного предмета в ране живота, груди, спины, конечностей.	Отработка приемов наложения повязок при наличии инородного предмета в ране живота, груди, конечностей.	Расширение / детализация
4.16	Тема 4 / Практическое занятие по теме 4	Отработка приемов первой помощи при переломах. Иммобилизация (подручными средствами, аутоиммобилизация, с использованием медицинских изделий, обездвиживание руками травмированных частей тела).	Отработка приемов первой помощи при переломах. Иммобилизация (подручными средствами, аутоиммобилизация, с использованием медицинских изделий).	Расширение / детализация
4.17	Тема 4 / Практическое занятие по теме 4	Отработка приемов фиксации шейного отдела позвоночника.	Отработка приемов фиксации шейного отдела позвоночника.	Перенесено
4.18	Тема 4 / Практическое занятие по теме 4	Отработка приемов наложения повязок при ожогах различных областей тела. Применение местного охлаждения.	Отработка приемов наложения повязок при ожогах различных областей тела. Применение местного охлаждения.	Без изменений
4.19	Тема 4 / Практическое занятие по теме 4	Отработка приемов наложения термоизолирующей повязки при отморожениях.	Отработка приемов наложения термоизолирующей повязки при отморожениях.	Без изменений
4.20	Тема 4 / Практическое занятие по теме 4	Отработка приемов придания оптимального положения тела пострадавшему при отсутствии сознания, травмах различных областей тела, значительной кровопотере.	Отработка приемов придания оптимального положения тела пострадавшему при отсутствии сознания, травмах различных областей тела, значительной кровопотере.	Без изменений
4.21	Тема 4 / Практическое занятие по теме 4	Отработка приемов экстренного извлечения пострадавшего из труднодоступного места, отработка основных приемов (пострадавший в сознании, пострадавший без сознания).	Отработка приемов экстренного извлечения пострадавшего из труднодоступного места, отработка основных приемов (пострадавший в сознании, пострадавший без сознания).	Без изменений
4.22	Тема 4 / Практическое занятие по теме 4	Отработка приемов перемещения пострадавших на руках одним, 2 и более участниками оказания первой помощи. Отработка приемов перемещения пострадавших с травмами головы, шеи, груди, спины, живота, таза, конечностей и позвоночника.	Отработка приемов перемещения пострадавших на руках одним, двумя и более участниками оказания первой помощи. Отработка приемов переноски пострадавших с травмами головы, шеи, груди, живота, таза, конечностей и позвоночника.	Переформулирование
4.23	Тема 4 / Практическое занятие по теме 4	Отработка приемов оказания психологической поддержки пострадавших при различных острых психологических реакциях на стресс. Способы самопомощи в экстремальных ситуациях.	Отработка приемов оказания психологической поддержки пострадавшим при различных острых стрессовых реакциях. Способы самопомощи в экстремальных ситуациях.	Переформулирование
И.1	Исключено из исходной темы 1 / теория	—	Понятие "первая помощь".	Исключено (нет в ред. от 30.06.2026)
И.2	Исключено из исходной темы 2 / теория	—	Ошибки и осложнения, возникающие при выполнении реанимационных мероприятий. Показания к прекращению реанимации. Мероприятия, выполняемые после прекращения реанимации.	Исключено (нет в ред. от 30.06.2026)
И.3	Исключено из исходной темы 2 / теория	—	Особенности реанимации у детей.	Исключено (нет в ред. от 30.06.2026)
И.4	Исключено из исходной темы 3 / теория	—	Оказание первой помощи при носовом кровотечении.	Исключено (нет в ред. от 30.06.2026)
И.5	Исключено из исходной темы 3 / теория	—	Понятие о травматическом шоке, причины и признаки. Мероприятия, предупреждающие развитие травматического шока.	Исключено (нет в ред. от 30.06.2026)
И.6	Исключено из исходной темы 3 / практика	—	Отработка приемов временной остановки наружного кровотечения при ранениях головы, шеи, груди, живота, таза и конечностей с помощью пальцевого прижатия артерий (сонной, подключичной, подмышечной, плечевой, бедренной); наложение табельного и импровизированного кровоостанавливающего жгута (жгута-закрутки, ремня), максимальное сгибание конечности в суставе, прямое давление на рану, наложение давящей повязки.	Исключено (нет в ред. от 30.06.2026)
